S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name
1,MURASOLI S,Dravida Munnetra Kazhagam,498822,3423,502245,48.82,Tamil Nadu,THANJAVUR
2,SIVANESAN P,Desiya Murpokku Dravida Kazhagam,182172,490,182662,17.76,Tamil Nadu,THANJAVUR
3,MURUGANANTHAM M,Bharatiya Janata Party,169587,1026,170613,16.59,Tamil Nadu,THANJAVUR
4,HUMAYUN KABIR,Naam Tamilar Katchi,119683,610,120293,11.69,Tamil Nadu,THANJAVUR
5,RENGASAMY C,Independent,18130,61,18191,1.77,Tamil Nadu,THANJAVUR
6,SARAVANAN M,Independent,6730,65,6795,0.66,Tamil Nadu,THANJAVUR
7,SENTHIL KUMAR N,Independent,4133,25,4158,0.4,Tamil Nadu,THANJAVUR
8,EZHILARASAN S,Independent,3834,17,3851,0.37,Tamil Nadu,THANJAVUR
9,JAYABAL A,Bahujan Samaj Party,2400,10,2410,0.23,Tamil Nadu,THANJAVUR
10,SANTHOSH M,Independent,1982,10,1992,0.19,Tamil Nadu,THANJAVUR
11,ER ARJUN S,Independent,1440,6,1446,0.14,Tamil Nadu,THANJAVUR
12,KARIKALA CHOLAN S,Independent,1209,8,1217,0.12,Tamil Nadu,THANJAVUR
13,NOTA,None of the Above,12674,159,12833,1.25,Tamil Nadu,THANJAVUR
