S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name
1,Sasikanth Senthil,Indian National Congress,794608,2348,796956,56.21,Tamil Nadu,TIRUVALLUR
2,"Balaganapathy, V. Pon",Bharatiya Janata Party,224042,759,224801,15.86,Tamil Nadu,TIRUVALLUR
3,"Nallathambi, K.",Desiya Murpokku Dravida Kazhagam,223550,354,223904,15.79,Tamil Nadu,TIRUVALLUR
4,"Jagadesh Chander, M.",Naam Tamilar Katchi,120620,218,120838,8.52,Tamil Nadu,TIRUVALLUR
5,"Tamizhmadhi, D.",Bahujan Samaj Party,13772,38,13810,0.97,Tamil Nadu,TIRUVALLUR
6,"Ashok Priyadarshan, S.",Desiya Makkal Sakthi Katchi,2937,9,2946,0.21,Tamil Nadu,TIRUVALLUR
7,Malathi,Naadaalum Makkal Katchi,2829,24,2853,0.2,Tamil Nadu,TIRUVALLUR
8,"Mani, E.",Independent,2745,7,2752,0.19,Tamil Nadu,TIRUVALLUR
9,"Devandhran, M.",Anna MGR Dravida Makkal Kalgam,2001,7,2008,0.14,Tamil Nadu,TIRUVALLUR
10,"Manimaran, V.",Independent,1921,1,1922,0.14,Tamil Nadu,TIRUVALLUR
11,"Balakrishnan, K.",Independent,1685,5,1690,0.12,Tamil Nadu,TIRUVALLUR
12,"Bharathidasan, S.S.",Independent,1619,12,1631,0.12,Tamil Nadu,TIRUVALLUR
13,"Shakthivel, A.J.",Independent,1605,8,1613,0.11,Tamil Nadu,TIRUVALLUR
14,"Sivasankaran, V.",Independent,1105,5,1110,0.08,Tamil Nadu,TIRUVALLUR
15,NOTA,None of the Above,18908,70,18978,1.34,Tamil Nadu,TIRUVALLUR
