S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name
1,MANICKAM TAGORE B,Indian National Congress,382876,2380,385256,36.28,Tamil Nadu,VIRUDHUNAGAR
2,VIJAYAPRABHAKARAN V,Desiya Murpokku Dravida Kazhagam,378243,2634,380877,35.87,Tamil Nadu,VIRUDHUNAGAR
3,RADIKAA R,Bharatiya Janata Party,164149,2122,166271,15.66,Tamil Nadu,VIRUDHUNAGAR
4,KAUSHIK S,Naam Tamilar Katchi,76122,909,77031,7.25,Tamil Nadu,VIRUDHUNAGAR
5,RAJESH,Independent,6167,6,6173,0.58,Tamil Nadu,VIRUDHUNAGAR
6,ASHOK KUMAR M,Bharatiya Praja Aikyata Party,5228,65,5293,0.5,Tamil Nadu,VIRUDHUNAGAR
7,SEKAR S,Hindu Samaj Party,3436,10,3446,0.32,Tamil Nadu,VIRUDHUNAGAR
8,MANIKANDAN M,Independent,3341,5,3346,0.32,Tamil Nadu,VIRUDHUNAGAR
9,MAYAK KANNAN,Independent,2749,2,2751,0.26,Tamil Nadu,VIRUDHUNAGAR
10,MAHENDRA RAMAKRISHNAN P,Independent,2404,1,2405,0.23,Tamil Nadu,VIRUDHUNAGAR
11,SURESH,Bahujan Samaj Party,2378,19,2397,0.23,Tamil Nadu,VIRUDHUNAGAR
12,SELVI K,Independent,2165,23,2188,0.21,Tamil Nadu,VIRUDHUNAGAR
13,PANDIYAMMAL R,Independent,2128,5,2133,0.2,Tamil Nadu,VIRUDHUNAGAR
14,SUDALAIMANI M,Independent,1357,2,1359,0.13,Tamil Nadu,VIRUDHUNAGAR
15,PALANICHAMY P,Bahujan Dravida Party,1261,2,1263,0.12,Tamil Nadu,VIRUDHUNAGAR
16,PALANISAMY K,Independent,1251,6,1257,0.12,Tamil Nadu,VIRUDHUNAGAR
17,VENKATESWARAN V K,Independent,1242,5,1247,0.12,Tamil Nadu,VIRUDHUNAGAR
18,SELVARAJAN V V,Independent,1120,1,1121,0.11,Tamil Nadu,VIRUDHUNAGAR
19,MARIEESWARI M,Independent,1100,10,1110,0.1,Tamil Nadu,VIRUDHUNAGAR
20,SANKARANARAYANAN N,Independent,994,4,998,0.09,Tamil Nadu,VIRUDHUNAGAR
21,SELVAKUMAR M,Independent,896,6,902,0.08,Tamil Nadu,VIRUDHUNAGAR
22,MUTHUKANNU C,Tamilaga Makkal Nala Katchi,753,8,761,0.07,Tamil Nadu,VIRUDHUNAGAR
23,MARISELVAM S,All India People Development Party,708,3,711,0.07,Tamil Nadu,VIRUDHUNAGAR
24,JEYARAJ T,Independent,602,8,610,0.06,Tamil Nadu,VIRUDHUNAGAR
25,VEDHA @  DHAMODHARAN,Independent,599,1,600,0.06,Tamil Nadu,VIRUDHUNAGAR
26,RAJAGOPAL S,Independent,525,2,527,0.05,Tamil Nadu,VIRUDHUNAGAR
27,GANESHAMOORTHI G,Independent,457,3,460,0.04,Tamil Nadu,VIRUDHUNAGAR
28,NOTA,None of the Above,9256,152,9408,0.89,Tamil Nadu,VIRUDHUNAGAR
