S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name,Constituency code
1,KRITI DEVI DEBBARMAN,Bharatiya Janata Party,768129,9318,777447,68.54,Tripura,Tripura East,2
2,RAJENDRA REANG,Communist Party of India  (Marxist),287772,2856,290628,25.62,Tripura,Tripura East,2
3,ARCHANA URANG,Independent,10814,108,10922,0.96,Tripura,Tripura East,2
4,DARSHAN KUMAR REANG,Independent,9200,69,9269,0.82,Tripura,Tripura East,2
5,SANTOJOY TRIPURA,Independent,6825,37,6862,0.6,Tripura,Tripura East,2
6,SHIB CHANDRA DEBBARMA,Independent,6685,34,6719,0.59,Tripura,Tripura East,2
7,SATRUGHNA JAMATIA,Independent,5939,28,5967,0.53,Tripura,Tripura East,2
8,KRISHNA MOHAN JAMATIA,Independent,4166,51,4217,0.37,Tripura,Tripura East,2
9,KALPA MOHAN TRIPURA,Independent,3958,53,4011,0.35,Tripura,Tripura East,2
10,NOTA,None of the Above,18176,127,18303,1.61,Tripura,Tripura East,2
