S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name,Constituency code
1,NEERAJ MAURYA,Samajwadi Party,491119,1396,492515,45.23,Uttar Pradesh,Aonla,24
2,DHARMENDRA KASHYAP,Bharatiya Janata Party,475434,1112,476546,43.76,Uttar Pradesh,Aonla,24
3,ABID ALI,Bahujan Samaj Party,95407,223,95630,8.78,Uttar Pradesh,Aonla,24
4,KAUSAR KHAN,Peace Party,4210,3,4213,0.39,Uttar Pradesh,Aonla,24
5,PREM PAL SAGAR,Vanchitsamaj Insaaf Party,3328,2,3330,0.31,Uttar Pradesh,Aonla,24
6,MAKKHAN LAL,Independent,2946,7,2953,0.27,Uttar Pradesh,Aonla,24
7,RAJ KUMAR PATEL,Sardar Patel Siddhant Party,2700,6,2706,0.25,Uttar Pradesh,Aonla,24
8,MOHAMMAD AMIR KHAN,Bharat Jodo Party,2348,7,2355,0.22,Uttar Pradesh,Aonla,24
9,NIRMOD KUMAR SINGH,Bhartiya Shakti Chetna Party,1785,5,1790,0.16,Uttar Pradesh,Aonla,24
10,NOTA,None of the Above,6843,15,6858,0.63,Uttar Pradesh,Aonla,24
