S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name,Constituency code
1,ANAND KUMAR,Bharatiya Janata Party,518575,227,518802,49.1,Uttar Pradesh,Baharaich,56
2,RAMESH CHANDRA,Samajwadi Party,454454,121,454575,43.02,Uttar Pradesh,Baharaich,56
3,DR. BRIJESH KUMAR,Bahujan Samaj Party,50422,26,50448,4.77,Uttar Pradesh,Baharaich,56
4,ARVIND KUMAR,Bhartiya Awam Party (Rastriya),6158,2,6160,0.58,Uttar Pradesh,Baharaich,56
5,RAMESH BALMIKI,Independent,3223,4,3227,0.31,Uttar Pradesh,Baharaich,56
6,BECHULAL,Independent,2919,1,2920,0.28,Uttar Pradesh,Baharaich,56
7,JANARDAN GOND,Independent,2672,1,2673,0.25,Uttar Pradesh,Baharaich,56
8,RAM MILAN,Sardar Patel Siddhant Party,1699,-,1699,0.16,Uttar Pradesh,Baharaich,56
9,RINKU SAHANI,Rashtra Dharak Dal,1681,2,1683,0.16,Uttar Pradesh,Baharaich,56
10,JAGRAM,Independent,1514,1,1515,0.14,Uttar Pradesh,Baharaich,56
11,NOTA,None of the Above,12862,2,12864,1.22,Uttar Pradesh,Baharaich,56
