S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name
1,SANATAN PANDEY,Samajwadi Party,464473,2595,467068,46.37,Uttar Pradesh,Ballia
2,NEERAJ SHEKHAR,Bharatiya Janata Party,421277,2407,423684,42.06,Uttar Pradesh,Ballia
3,LALLAN SINGH YADAV,Bahujan Samaj Party,84943,262,85205,8.46,Uttar Pradesh,Ballia
4,SUMESHWAR,Independent,5056,-,5056,0.5,Uttar Pradesh,Ballia
5,SHESHNATH,Independent,3587,1,3588,0.36,Uttar Pradesh,Ballia
6,RAVI KANT SINGH ALIAS RAVI PATEL,Sardar Patel Siddhant Party,3174,7,3181,0.32,Uttar Pradesh,Ballia
7,RAMNIVAS GOND,Gondvana Gantantra Party,2642,30,2672,0.27,Uttar Pradesh,Ballia
8,SURYA BALI PRASAD,Aazad Samaj Party (Kanshi Ram),2143,5,2148,0.21,Uttar Pradesh,Ballia
9,RANJANA,Independent,1871,7,1878,0.19,Uttar Pradesh,Ballia
10,ASHOK GUPTA,Independent,1339,8,1347,0.13,Uttar Pradesh,Ballia
11,MANINDR,Independent,1186,1,1187,0.12,Uttar Pradesh,Ballia
12,AVADHESH VERMA,Independent,1150,11,1161,0.12,Uttar Pradesh,Ballia
13,PRAKASH KUMAR,Independent,960,-,960,0.1,Uttar Pradesh,Ballia
14,NOTA,None of the Above,8167,20,8187,0.81,Uttar Pradesh,Ballia
