S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name
1,DR. MAHESH SHARMA,Bharatiya Janata Party,855413,2416,857829,59.69,Uttar Pradesh,Gautam Buddha Nagar
2,DR. MAHENDRA SINGH NAGAR,Samajwadi Party,297697,660,298357,20.76,Uttar Pradesh,Gautam Buddha Nagar
3,RAJENDRA SINGH SOLANKI,Bahujan Samaj Party,250962,653,251615,17.51,Uttar Pradesh,Gautam Buddha Nagar
4,BHIM PRAKASH JIGYASU,Viro Ke Vir Indian Party,3873,2,3875,0.27,Uttar Pradesh,Gautam Buddha Nagar
5,MOHD. MUMTAJ AALAM,Independent,2818,3,2821,0.2,Uttar Pradesh,Gautam Buddha Nagar
6,SHIVAM ASHUTOSH,Independent,2637,4,2641,0.18,Uttar Pradesh,Gautam Buddha Nagar
7,MANISH KUMAR DWIVEDI,Akhil Bhartiya Parivar Party,1769,3,1772,0.12,Uttar Pradesh,Gautam Buddha Nagar
8,KISHOR SINGH,National Party,1739,28,1767,0.12,Uttar Pradesh,Gautam Buddha Nagar
9,MAHKAR SINGH,Independent,1118,6,1124,0.08,Uttar Pradesh,Gautam Buddha Nagar
10,KM. SHALU,Loktantrik Janshakti Party,1020,30,1050,0.07,Uttar Pradesh,Gautam Buddha Nagar
11,PARAG KAUSHIK,Independent,945,1,946,0.07,Uttar Pradesh,Gautam Buddha Nagar
12,NARESH NAUTIYAL,Bhartiya Rashtriya Jansatta,931,10,941,0.07,Uttar Pradesh,Gautam Buddha Nagar
13,RAN SINGH DUDEE,Super Power India Party,905,3,908,0.06,Uttar Pradesh,Gautam Buddha Nagar
14,RAJEEV MISHRA,Jai Hind National Party,642,15,657,0.05,Uttar Pradesh,Gautam Buddha Nagar
15,NARAVEDASHVAR,Subhashwadi Bhartiya Samajwadi Party (Subhas Party),615,2,617,0.04,Uttar Pradesh,Gautam Buddha Nagar
16,NOTA,None of the Above,10286,38,10324,0.72,Uttar Pradesh,Gautam Buddha Nagar
