S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name
1,ATUL GARG,Bharatiya Janata Party,853036,1134,854170,58.09,Uttar Pradesh,Ghaziabad
2,DOLLY SHARMA,Indian National Congress,516699,506,517205,35.17,Uttar Pradesh,Ghaziabad
3,NAND KISHOR PUNDIR,Bahujan Samaj Party,79387,138,79525,5.41,Uttar Pradesh,Ghaziabad
4,RAVI KUMAR PANCHAL,Independent,1965,1,1966,0.13,Uttar Pradesh,Ghaziabad
5,ANAND KUMAR,Rashtra Nirman Party,1174,4,1178,0.08,Uttar Pradesh,Ghaziabad
6,NATTHUSINGH CHAUDHARY,Independent,1159,3,1162,0.08,Uttar Pradesh,Ghaziabad
7,AURANGJEB,Independent,1120,-,1120,0.08,Uttar Pradesh,Ghaziabad
8,NAMAHA,Samaj Vikas Kranti Party,1079,1,1080,0.07,Uttar Pradesh,Ghaziabad
9,AVDESH KUMAR,Independent,1037,6,1043,0.07,Uttar Pradesh,Ghaziabad
10,POOJA SAXENA,Right to Recall Party,874,4,878,0.06,Uttar Pradesh,Ghaziabad
11,KAVITA,Independent,772,3,775,0.05,Uttar Pradesh,Ghaziabad
12,ANSUL GUPTA,Rashtriya Jan Karmath Party,763,1,764,0.05,Uttar Pradesh,Ghaziabad
13,DHIRENDRA SINGH BHADAURIYA,Subhashwadi Bhartiya Samajwadi Party (Subhas Party),696,4,700,0.05,Uttar Pradesh,Ghaziabad
14,ABHISHEK PUNDIR,Independent,652,1,653,0.04,Uttar Pradesh,Ghaziabad
15,NOTA,None of the Above,8195,16,8211,0.56,Uttar Pradesh,Ghaziabad
