S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name,Constituency code
1,RAVINDRA SHUKLA ALIAS RAVI KISHAN,Bharatiya Janata Party,584512,1322,585834,50.75,Uttar Pradesh,Gorakhpur,64
2,KAJAL NISHAD,Samajwadi Party,480788,1520,482308,41.78,Uttar Pradesh,Gorakhpur,64
3,JAVED ASHRAF ALIAS JAVED SIMNANI,Bahujan Samaj Party,55660,121,55781,4.83,Uttar Pradesh,Gorakhpur,64
4,ANAND KUMAR YADAV ALIAS ANAND KUMAR FAUJI,Bharatheeya Jawan Kisan Party,4946,9,4955,0.43,Uttar Pradesh,Gorakhpur,64
5,PINTU SAHANI,Independent,4031,1,4032,0.35,Uttar Pradesh,Gorakhpur,64
6,SHIVSHANKAR PRAJAPATI,Bhagidari Party(P),2631,4,2635,0.23,Uttar Pradesh,Gorakhpur,64
7,SUDHANSHU,Independent,2393,2,2395,0.21,Uttar Pradesh,Gorakhpur,64
8,SANJAY SINGH RANA,Bhartiya Sarvdharm Party,2011,1,2012,0.17,Uttar Pradesh,Gorakhpur,64
9,NAFEES AKHTAR,Independent,1880,-,1880,0.16,Uttar Pradesh,Gorakhpur,64
10,ANKIT SHAH,Bharatiya Yuva Jan Ekta Party,1871,3,1874,0.16,Uttar Pradesh,Gorakhpur,64
11,AMITA BHARATI,Independent,1356,8,1364,0.12,Uttar Pradesh,Gorakhpur,64
12,SONU RAI,Mera Adhikaar Rashtriya Dal,891,7,898,0.08,Uttar Pradesh,Gorakhpur,64
13,SHRIRAM PRASAD,Al-Hind Party,762,2,764,0.07,Uttar Pradesh,Gorakhpur,64
14,NOTA,None of the Above,7652,29,7681,0.67,Uttar Pradesh,Gorakhpur,64
