S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name,Constituency code
1,ANOOP PRADHAN BALMIKI,Bharatiya Janata Party,552334,2412,554746,51.24,Uttar Pradesh,Hathras,16
2,JASVEER VALMIKI,Samajwadi Party,306637,791,307428,28.39,Uttar Pradesh,Hathras,16
3,HEMBABOO DHANGAR,Bahujan Samaj Party,200876,387,201263,18.59,Uttar Pradesh,Hathras,16
4,JAYPAL MAHOR,Independent,3044,17,3061,0.28,Uttar Pradesh,Hathras,16
5,RAJPAL SINGH,Independent,2361,11,2372,0.22,Uttar Pradesh,Hathras,16
6,GHANSHYAM SINGH,Swaraj Bhartiya Nyay Party,2329,16,2345,0.22,Uttar Pradesh,Hathras,16
7,RAVI KUMAR,Independent,1638,7,1645,0.15,Uttar Pradesh,Hathras,16
8,DR. JAYVEER SINGH DHANGAR,Rashtra Uday Party,1591,16,1607,0.15,Uttar Pradesh,Hathras,16
9,DINESH SAI,Independent,1140,4,1144,0.11,Uttar Pradesh,Hathras,16
10,MUNNALAL JATAV,Independent,803,7,810,0.07,Uttar Pradesh,Hathras,16
11,NOTA,None of the Above,6257,42,6299,0.58,Uttar Pradesh,Hathras,16
