S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name
1,AKHILESH YADAV,Samajwadi Party,640207,2085,642292,52.74,Uttar Pradesh,Kannauj
2,SUBRAT PATHAK,Bharatiya Janata Party,470131,1239,471370,38.71,Uttar Pradesh,Kannauj
3,IMRAN BIN ZAFAR,Bahujan Samaj Party,81471,168,81639,6.7,Uttar Pradesh,Kannauj
4,ALOK VERMA,Rashtriya Shoshit Samaj Party,4484,8,4492,0.37,Uttar Pradesh,Kannauj
5,LALIT KUMARI,Independent,3262,5,3267,0.27,Uttar Pradesh,Kannauj
6,SINOD KUMAR,Independent,1732,1,1733,0.14,Uttar Pradesh,Kannauj
7,RAJ KATHERIA,Independent,1463,1,1464,0.12,Uttar Pradesh,Kannauj
8,BHANU PRATAP SINGH DOHRE,Independent,1430,2,1432,0.12,Uttar Pradesh,Kannauj
9,SHAILENDRA KUMAR,Bharatiya Kisan Parivartan Party,1141,10,1151,0.09,Uttar Pradesh,Kannauj
10,YADVENDRA KISHOR,Independent,1061,1,1062,0.09,Uttar Pradesh,Kannauj
11,SUBHASH CHANDRA,All India Forward Bloc,799,2,801,0.07,Uttar Pradesh,Kannauj
12,SUNIL,Bhartiya Shakti Chetna Party,738,1,739,0.06,Uttar Pradesh,Kannauj
13,PRAMOD KUMAR YADAV,Bhartiya Krishak Dal,557,3,560,0.05,Uttar Pradesh,Kannauj
14,PURUSHOTTAM TIWARI,Independent,541,2,543,0.04,Uttar Pradesh,Kannauj
15,IRFAN ALI,Independent,463,7,470,0.04,Uttar Pradesh,Kannauj
16,NOTA,None of the Above,4805,13,4818,0.4,Uttar Pradesh,Kannauj
