S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name,Constituency code
1,PUSHPENDRA SAROJ,Samajwadi Party,509175,612,509787,50.51,Uttar Pradesh,Kaushambi,50
2,VINOD KUMAR SONKAR,Bharatiya Janata Party,405142,701,405843,40.21,Uttar Pradesh,Kaushambi,50
3,SHUBH NARAYAN,Bahujan Samaj Party,55797,61,55858,5.53,Uttar Pradesh,Kaushambi,50
4,PUSHPENDRA KUMAR SAROJ,Independent,5178,6,5184,0.51,Uttar Pradesh,Kaushambi,50
5,NARENDRA KUMAR,Apna Dal (Kamerawadi),5127,4,5131,0.51,Uttar Pradesh,Kaushambi,50
6,SANJAY KUMAR,Independent,4631,3,4634,0.46,Uttar Pradesh,Kaushambi,50
7,RAJENDRA SONKAR URF PANNA BHAIYA,Independent,3421,-,3421,0.34,Uttar Pradesh,Kaushambi,50
8,PRADEEP KUMAR,Independent,2539,2,2541,0.25,Uttar Pradesh,Kaushambi,50
9,RAMESHWAR PRASAD,Bhartiya Shakti Chetna Party,2011,2,2013,0.2,Uttar Pradesh,Kaushambi,50
10,RAM ASREY,Manavtawadi Samaj Party,1948,2,1950,0.19,Uttar Pradesh,Kaushambi,50
11,NOTA,None of the Above,12958,9,12967,1.28,Uttar Pradesh,Kaushambi,50
