S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name
1,RAJ NATH SINGH,Bharatiya Janata Party,610597,2112,612709,53.89,Uttar Pradesh,Lucknow
2,RAVIDAS MEHROTRA,Samajwadi Party,476303,1247,477550,42.0,Uttar Pradesh,Lucknow
3,MOHAMMAD SARWAR MALIK,Bahujan Samaj Party,29982,210,30192,2.66,Uttar Pradesh,Lucknow
4,MO AHMAD URF RINKU,Social Democratic Party Of India,3251,4,3255,0.29,Uttar Pradesh,Lucknow
5,AKHAND PRATAP SINGH,Independent,1465,8,1473,0.13,Uttar Pradesh,Lucknow
6,SARVAR ALI,Sarvar Party,1199,3,1202,0.11,Uttar Pradesh,Lucknow
7,ISHTIYAQ ALI,Independent,929,5,934,0.08,Uttar Pradesh,Lucknow
8,KAPIL MOHAN CHOWDHARY,Mera Adhikaar Rashtriya Dal,815,2,817,0.07,Uttar Pradesh,Lucknow
9,GAURAV VERMA,Hindu Samaj Party,801,6,807,0.07,Uttar Pradesh,Lucknow
10,BRIJESH KUMAR YADAV,Kisan Vishwa Party,601,2,603,0.05,Uttar Pradesh,Lucknow
11,NOTA,None of the Above,7316,34,7350,0.65,Uttar Pradesh,Lucknow
