S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name,Constituency code
1,PRIYA SAROJ,Samajwadi Party,449561,1731,451292,42.57,Uttar Pradesh,Machhlishahr,74
2,BHOLANATH (B.P. SAROJ),Bharatiya Janata Party,414494,948,415442,39.19,Uttar Pradesh,Machhlishahr,74
3,KRIPA SHANKAR SAROJ,Bahujan Samaj Party,156930,361,157291,14.84,Uttar Pradesh,Machhlishahr,74
4,SHRAVAN KUMAR,Independent,5804,3,5807,0.55,Uttar Pradesh,Machhlishahr,74
5,URMILA,Samaj Parivartan Party,5296,7,5303,0.5,Uttar Pradesh,Machhlishahr,74
6,SUBAS,Independent,3691,2,3693,0.35,Uttar Pradesh,Machhlishahr,74
7,RANG BAHADUR,Independent,2715,3,2718,0.26,Uttar Pradesh,Machhlishahr,74
8,BRIJESH KUMAR SAROJ,Prabuddhwadi Bahujan Morcha,2365,-,2365,0.22,Uttar Pradesh,Machhlishahr,74
9,RAJENDRA PRASAD,Rashtra Uday Party,2066,1,2067,0.19,Uttar Pradesh,Machhlishahr,74
10,RAM MILAN,Sardar Patel Siddhant Party,1713,3,1716,0.16,Uttar Pradesh,Machhlishahr,74
11,KAMLESH,Azad Samaj Party,1698,4,1702,0.16,Uttar Pradesh,Machhlishahr,74
12,BRIJESH KUMAR,Prithviraj Janshakti Party,1362,2,1364,0.13,Uttar Pradesh,Machhlishahr,74
13,NOTA,None of the Above,9277,26,9303,0.88,Uttar Pradesh,Machhlishahr,74
