S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name,Constituency code
1,HARENDRA SINGH MALIK,Samajwadi Party,469804,917,470721,43.64,Uttar Pradesh,Muzaffarnagar,3
2,SANJEEV KUMAR BALYAN,Bharatiya Janata Party,443815,2234,446049,41.35,Uttar Pradesh,Muzaffarnagar,3
3,DARA SINGH PRAJAPATI,Bahujan Samaj Party,143323,384,143707,13.32,Uttar Pradesh,Muzaffarnagar,3
4,SUNIL TYAGI,Independent,7131,36,7167,0.66,Uttar Pradesh,Muzaffarnagar,3
5,KAVITA,Rashtrawadi Janlok Party (Satya),1970,30,2000,0.19,Uttar Pradesh,Muzaffarnagar,3
6,SHASHIKANT SHAMAR,Independent,1429,2,1431,0.13,Uttar Pradesh,Muzaffarnagar,3
7,BIRBAL SINGH,Vishal Janta Party,1419,2,1421,0.13,Uttar Pradesh,Muzaffarnagar,3
8,NEEL KUMAR,Jai Samta Party,858,3,861,0.08,Uttar Pradesh,Muzaffarnagar,3
9,RESHU SHARMA,Independent,679,5,684,0.06,Uttar Pradesh,Muzaffarnagar,3
10,ANKUR,Independent,362,10,372,0.03,Uttar Pradesh,Muzaffarnagar,3
11,MANUJ VERMA,Independent,333,7,340,0.03,Uttar Pradesh,Muzaffarnagar,3
12,NOTA,None of the Above,3884,32,3916,0.36,Uttar Pradesh,Muzaffarnagar,3
