S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name,Constituency code
1,CHHOTELAL,Samajwadi Party,465240,608,465848,46.14,Uttar Pradesh,Robertsganj,80
2,RINKI SINGH,Apna Dal (Soneylal),336344,270,336614,33.34,Uttar Pradesh,Robertsganj,80
3,DHANESHWAR,Bahujan Samaj Party,118669,109,118778,11.77,Uttar Pradesh,Robertsganj,80
4,ASHOK KUMAR KANNAUJIYA,Communist Party of India,23830,22,23852,2.36,Uttar Pradesh,Robertsganj,80
5,SUBHAGI,Janhit Sankalp Party,8191,3,8194,0.81,Uttar Pradesh,Robertsganj,80
6,ARVIND KUMAR BHARTI,Rashtriya Samanta Dal,7583,9,7592,0.75,Uttar Pradesh,Robertsganj,80
7,SUKALU,Independent,6701,11,6712,0.66,Uttar Pradesh,Robertsganj,80
8,SHIVPUJAN,Rashtriya Samaj Paksha,6422,22,6444,0.64,Uttar Pradesh,Robertsganj,80
9,SONU NIGAM,Independent,6142,2,6144,0.61,Uttar Pradesh,Robertsganj,80
10,CHANDRIKA PRASAD,Janta Kranti Party (Rashtravadi),3732,9,3741,0.37,Uttar Pradesh,Robertsganj,80
11,PRABHUDAYAL,Rashtriya Samaj Dal (R),3470,1,3471,0.34,Uttar Pradesh,Robertsganj,80
12,RAM SHIROMANI,Sardar Patel Siddhant Party,3116,7,3123,0.31,Uttar Pradesh,Robertsganj,80
13,NOTA,None of the Above,19019,13,19032,1.89,Uttar Pradesh,Robertsganj,80
