S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name
1,ARUN KUMAR SAGAR,Bharatiya Janata Party,591500,1218,592718,47.5,Uttar Pradesh,Shahjahanpur
2,JYOTSNA GOND,Samajwadi Party,534720,2619,537339,43.06,Uttar Pradesh,Shahjahanpur
3,DOD RAM VERMA,Bahujan Samaj Party,91302,408,91710,7.35,Uttar Pradesh,Shahjahanpur
4,KIRAN,Rashtriya Sanatan Party,6587,1,6588,0.53,Uttar Pradesh,Shahjahanpur
5,SHIV KUMAR,Independent,2805,-,2805,0.22,Uttar Pradesh,Shahjahanpur
6,MEENA KASYAP,Independent,2051,10,2061,0.17,Uttar Pradesh,Shahjahanpur
7,PRADEEP KUMAR,Independent,1996,9,2005,0.16,Uttar Pradesh,Shahjahanpur
8,PREMCHANDRA HARIJAN,Sardar Patel Siddhant Party,1686,1,1687,0.14,Uttar Pradesh,Shahjahanpur
9,DHARM PAL,Independent,1413,10,1423,0.11,Uttar Pradesh,Shahjahanpur
10,RAMESH CHANDRA VERMA,Manav Kranti Party,1076,-,1076,0.09,Uttar Pradesh,Shahjahanpur
11,NOTA,None of the Above,8449,41,8490,0.68,Uttar Pradesh,Shahjahanpur
