S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name,Constituency code
1,ANIL BALUNI,Bharatiya Janata Party,418531,13628,432159,58.6,Uttarakhand,Garhwal,2
2,GANESH GODIYAL,Indian National Congress,262692,5964,268656,36.43,Uttarakhand,Garhwal,2
3,SONU KUMAR,Independent,4803,19,4822,0.65,Uttarakhand,Garhwal,2
4,ASHUTOSH SINGH,Uttarakhand Kranti Dal,4182,379,4561,0.62,Uttarakhand,Garhwal,2
5,DHEER SINGH,Bahujan Samaj Party,4007,115,4122,0.56,Uttarakhand,Garhwal,2
6,MUKESH PRAKASH,Independent,3064,15,3079,0.42,Uttarakhand,Garhwal,2
7,SURESHI DEVI,Peoples Party of India (Democratic),1472,40,1512,0.21,Uttarakhand,Garhwal,2
8,DEEPENDRA SINGH NEGI,Independent,1408,232,1640,0.22,Uttarakhand,Garhwal,2
9,ARJUN SINGH,Akhil Bhartiya Parivar Party,1308,70,1378,0.19,Uttarakhand,Garhwal,2
10,RESHMA PANWAR,Socialist Unity Centre Of India (COMMUNIST),1168,125,1293,0.18,Uttarakhand,Garhwal,2
11,DR MUKESH PANT,Sainik Samaj Party,1121,58,1179,0.16,Uttarakhand,Garhwal,2
12,VINOD KUMAR SHARMA,Uttarakhand Samanta Party,838,46,884,0.12,Uttarakhand,Garhwal,2
13,SHYAMLAL,Bahujan Mukti Party,743,28,771,0.1,Uttarakhand,Garhwal,2
14,NOTA,None of the Above,11224,151,11375,1.54,Uttarakhand,Garhwal,2
