S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name
1,AJAY BHATT,Bharatiya Janata Party,766397,6274,772671,61.03,Uttarakhand,Nainital-Udhamsingh Nagar
2,PRAKASH JOSHI,Indian National Congress,434916,3207,438123,34.61,Uttarakhand,Nainital-Udhamsingh Nagar
3,AKHTAR ALI,Bahujan Samaj Party,23276,179,23455,1.85,Uttarakhand,Nainital-Udhamsingh Nagar
4,AKHALESH KUMAR,Akhil Bhartiya Parivar Party,4871,31,4902,0.39,Uttarakhand,Nainital-Udhamsingh Nagar
5,HITESH PATHAK,Independent,4287,28,4315,0.34,Uttarakhand,Nainital-Udhamsingh Nagar
6,RAMESH KUMAR MAX,Independent,3271,29,3300,0.26,Uttarakhand,Nainital-Udhamsingh Nagar
7,AMAR SINGH SAINI,Peoples Party of India (Democratic),2963,24,2987,0.24,Uttarakhand,Nainital-Udhamsingh Nagar
8,JEEVAN CHANDRA UPRETI,Bharat Ki Lok Jimmedar Party,2292,18,2310,0.18,Uttarakhand,Nainital-Udhamsingh Nagar
9,SHIB SINGH,Uttarakhand Kranti Dal,1809,46,1855,0.15,Uttarakhand,Nainital-Udhamsingh Nagar
10,SURENDRA SINGH,Bhartiya Shakti Chetna Party,1655,18,1673,0.13,Uttarakhand,Nainital-Udhamsingh Nagar
11,NOTA,None of the Above,10227,198,10425,0.82,Uttarakhand,Nainital-Udhamsingh Nagar
