S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name,Constituency code
1,PATHAN YUSUF,All India Trinamool Congress,523630,886,524516,37.88,West Bengal,Baharampur,10
2,ADHIR RANJAN CHOWDHURY,Indian National Congress,438171,1323,439494,31.74,West Bengal,Baharampur,10
3,DR. NIRMAL KUMAR SAHA,Bharatiya Janata Party,370370,1515,371885,26.86,West Bengal,Baharampur,10
4,SAMIRAN DAS,Independent,18526,1,18527,1.34,West Bengal,Baharampur,10
5,SWAPAN KUMAR MANDAL,Independent,6394,2,6396,0.46,West Bengal,Baharampur,10
6,SANTOSH BISWAS,Bahujan Samaj Party,4219,19,4238,0.31,West Bengal,Baharampur,10
7,BISWAMVOIR KALITA,Independent,3060,2,3062,0.22,West Bengal,Baharampur,10
8,SOMNATH PAUL,All India Arya Mahasabha,2250,-,2250,0.16,West Bengal,Baharampur,10
9,RUNA LAILA,Social Democratic Party Of India,1569,2,1571,0.11,West Bengal,Baharampur,10
10,ABHIJIT MANDAL,Socialist Unity Centre Of India (COMMUNIST),1410,8,1418,0.1,West Bengal,Baharampur,10
11,ASHIS DAS,Independent,1106,4,1110,0.08,West Bengal,Baharampur,10
12,ADHIR SWARNAKAR,Independent,851,5,856,0.06,West Bengal,Baharampur,10
13,AJIT KUMAR MANDAL,Independent,745,4,749,0.05,West Bengal,Baharampur,10
14,MANIK KUMAR DAS,Jai Prakash Janata Dal,729,-,729,0.05,West Bengal,Baharampur,10
15,AABDUSA SATTAR SEKH,Indian National Socialistic Action Forces,477,7,484,0.03,West Bengal,Baharampur,10
16,NOTA,None of the Above,7474,11,7485,0.54,West Bengal,Baharampur,10
