S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name
1,ARUP CHAKRABORTY,All India Trinamool Congress,637465,4348,641813,44.33,West Bengal,Bankura
2,DR. SUBHAS SARKAR,Bharatiya Janata Party,604836,4199,609035,42.07,West Bengal,Bankura
3,NILANJAN DASGUPTA,Communist Party of India  (Marxist),104534,825,105359,7.28,West Bengal,Bankura
4,SURAJIT SINGH KURMALI,Independent,18507,62,18569,1.28,West Bengal,Bankura
5,GOPAL MURMU,Ambedkarite Party of India,9047,54,9101,0.63,West Bengal,Bankura
6,DIPA BOURI,Bahujan Samaj Party,8709,87,8796,0.61,West Bengal,Bankura
7,MARSHAL TUDU,Independent,6682,35,6717,0.46,West Bengal,Bankura
8,TARA SHANKAR GOPE,Socialist Unity Centre Of India (COMMUNIST),5490,39,5529,0.38,West Bengal,Bankura
9,SANDIP KUMAR DEY,Independent,4610,12,4622,0.32,West Bengal,Bankura
10,SAMAR KUMAR BISWAS,Kisan Mazdoor Sangharsh Party,3512,29,3541,0.24,West Bengal,Bankura
11,JIBAN CHAKRABORTY,Independent,3483,23,3506,0.24,West Bengal,Bankura
12,KARTIK CHANDRA BAURI,Independent,2741,55,2796,0.19,West Bengal,Bankura
13,GOUR CHANDRA HEMBRAM,Independent,2064,17,2081,0.14,West Bengal,Bankura
14,NOTA,None of the Above,26126,83,26209,1.81,West Bengal,Bankura
