S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name
1,KAKOLI GHOSH DASTIDAR,All India Trinamool Congress,689513,2497,692010,45.15,West Bengal,Barasat
2,SWAPAN MAJUMDER,Bharatiya Janata Party,576024,1797,577821,37.7,West Bengal,Barasat
3,TAPAS BANERJEE,All India Secular Front,121355,85,121440,7.92,West Bengal,Barasat
4,SANJIB CHATTERJEE,All India Forward Bloc,99456,544,100000,6.52,West Bengal,Barasat
5,SMRITIKANA HAOLADAR,Bahujan Samaj Party,5759,28,5787,0.38,West Bengal,Barasat
6,SAIFUDDIN MONDAL,Independent,3823,4,3827,0.25,West Bengal,Barasat
7,SWAPAN MAJUMDAR,Independent,3083,2,3085,0.2,West Bengal,Barasat
8,S MUKHTAR AHMED,Independent,2639,8,2647,0.17,West Bengal,Barasat
9,SEFALI DEY,Bharatiya Nyay-Adhikar Raksha Party,2244,8,2252,0.15,West Bengal,Barasat
10,SADHAN GHOSH,Socialist Unity Centre Of India (COMMUNIST),2025,22,2047,0.13,West Bengal,Barasat
11,BIKASH SARKAR,Mulnibasi Party of India,1928,1,1929,0.13,West Bengal,Barasat
12,MOHAN LAL ADHIKARY,Independent,1850,14,1864,0.12,West Bengal,Barasat
13,NOTA,None of the Above,17834,58,17892,1.17,West Bengal,Barasat
