S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name,Constituency code
1,PARTHA BHOWMICK,All India Trinamool Congress,518486,1745,520231,45.56,West Bengal,Barrackpur,15
2,ARJUN SINGH,Bharatiya Janata Party,454184,1609,455793,39.92,West Bengal,Barrackpur,15
3,DEBDUT GHOSH,Communist Party of India  (Marxist),109038,526,109564,9.6,West Bengal,Barrackpur,15
4,MD JAMIR HOSSAIN,All India Secular Front,18797,9,18806,1.65,West Bengal,Barrackpur,15
5,ROHIT KUMAR PATHAK,Independent,7116,16,7132,0.62,West Bengal,Barrackpur,15
6,CHAPALA RAY (MAJUMDER),Bahujan Samaj Party,3882,27,3909,0.34,West Bengal,Barrackpur,15
7,SHARMISTHA DAS,Independent,3622,12,3634,0.32,West Bengal,Barrackpur,15
8,ANJAN GOSWAMI,Bharatiya Nyay-Adhikar Raksha Party,3434,14,3448,0.3,West Bengal,Barrackpur,15
9,DHARMENDRA SINGH,Independent,2843,4,2847,0.25,West Bengal,Barrackpur,15
10,SANJAY SINGH,Independent,1670,6,1676,0.15,West Bengal,Barrackpur,15
11,DEBASISH BANERJEE,Socialist Unity Centre Of India (COMMUNIST),1422,12,1434,0.13,West Bengal,Barrackpur,15
12,KUNDAN SINGH,Independent,820,6,826,0.07,West Bengal,Barrackpur,15
13,UDAY VEER CHOUDHURY,Independent,745,12,757,0.07,West Bengal,Barrackpur,15
14,AMIT KUMAR CHOUBEY,Independent,717,4,721,0.06,West Bengal,Barrackpur,15
15,NOTA,None of the Above,11043,39,11082,0.97,West Bengal,Barrackpur,15
