S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name
1,JAGADISH CHANDRA BARMA BASUNIA,All India Trinamool Congress,785747,2628,788375,48.57,West Bengal,Coochbehar
2,NISITH PRAMANIK,Bharatiya Janata Party,745144,3981,749125,46.16,West Bengal,Coochbehar
3,NITISH CHANDRA ROY,All India Forward Bloc,29992,275,30267,1.86,West Bengal,Coochbehar
4,PIYA ROY CHOWDHURY,Indian National Congress,10539,140,10679,0.66,West Bengal,Coochbehar
5,HAREKRISHNA SARKAR,Independent,9462,5,9467,0.58,West Bengal,Coochbehar
6,KAMALESH BARMAN,Independent,2972,21,2993,0.18,West Bengal,Coochbehar
7,NABI BARMAN,Independent,2710,14,2724,0.17,West Bengal,Coochbehar
8,SUBODH BARMAN,Independent,2594,5,2599,0.16,West Bengal,Coochbehar
9,DILIP CHANDRA BARMAN,Socialist Unity Centre Of India (COMMUNIST),2449,19,2468,0.15,West Bengal,Coochbehar
10,PURNA MOHAN ROY,Bahujan Samaj Party,2087,10,2097,0.13,West Bengal,Coochbehar
11,BIDHAN DAS,Independent,2067,5,2072,0.13,West Bengal,Coochbehar
12,KISHORE RAY,Independent,1588,18,1606,0.1,West Bengal,Coochbehar
13,PRADIP KUMAR ROY,Kamatapur People’s Party (United),1499,19,1518,0.09,West Bengal,Coochbehar
14,AMAL DAS,Independent,1488,7,1495,0.09,West Bengal,Coochbehar
15,NOTA,None of the Above,15510,53,15563,0.96,West Bengal,Coochbehar
