S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name
1,RACHNA BANERJEE,All India Trinamool Congress,700120,2624,702744,46.31,West Bengal,Hooghly
2,LOCKET CHATTERJEE,Bharatiya Janata Party,623867,2024,625891,41.24,West Bengal,Hooghly
3,MANADIP GHOSH,Communist Party of India  (Marxist),139250,669,139919,9.22,West Bengal,Hooghly
4,SURAJIT HEMBRAM,Independent,9257,11,9268,0.61,West Bengal,Hooghly
5,SAMIM ALI MOLLICK,Independent,6555,12,6567,0.43,West Bengal,Hooghly
6,JAMINI BHAR,Bahujan Samaj Party,4684,34,4718,0.31,West Bengal,Hooghly
7,AJANTA SARKAR,Bharatiya National Janata Dal,3619,20,3639,0.24,West Bengal,Hooghly
8,SK KAMALUDDIN,Independent,2755,11,2766,0.18,West Bengal,Hooghly
9,SANCHITA BERA,Independent,2632,17,2649,0.17,West Bengal,Hooghly
10,PABAN MAZUMDER,Socialist Unity Centre Of India (COMMUNIST),2367,13,2380,0.16,West Bengal,Hooghly
11,PRADIP PAL,Bharatiya Nyay-Adhikar Raksha Party,2205,15,2220,0.15,West Bengal,Hooghly
12,MRINAL KANTI DAS,Independent,1387,11,1398,0.09,West Bengal,Hooghly
13,NOTA,None of the Above,13250,102,13352,0.88,West Bengal,Hooghly
