S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name
1,PRATIMA MONDAL,All India Trinamool Congress,891053,3259,894312,60.32,West Bengal,Joynagar
2,ASHOK KANDARY,Bharatiya Janata Party,422546,1547,424093,28.6,West Bengal,Joynagar
3,MEGHNATH HALDER,All India Secular Front,65316,56,65372,4.41,West Bengal,Joynagar
4,SAMARENDRA NATH MONDAL,Revolutionary Socialist Party,39927,186,40113,2.71,West Bengal,Joynagar
5,NIRANJAN  NASKAR,Socialist Unity Centre Of India (COMMUNIST),14547,75,14622,0.99,West Bengal,Joynagar
6,SUJAN SARDAR,Independent,10779,15,10794,0.73,West Bengal,Joynagar
7,SINDHUPADA BAIRAGI,Independent,9150,12,9162,0.62,West Bengal,Joynagar
8,SHANKAR DEB MONDAL,Bahujan Samaj Party,6363,28,6391,0.43,West Bengal,Joynagar
9,JURAN CHANDRA PANDEY,Mulnibasi Party of India,3750,19,3769,0.25,West Bengal,Joynagar
10,MILAN NASKAR,Independent,2129,7,2136,0.14,West Bengal,Joynagar
11,PRATIMA MONDAL,Independent,2052,27,2079,0.14,West Bengal,Joynagar
12,NOTA,None of the Above,9756,32,9788,0.66,West Bengal,Joynagar
