S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name
1,KALYAN BANERJEE,All India Trinamool Congress,671865,2105,673970,45.65,West Bengal,Srerampur
2,KABIR SHANKAR BOSE,Bharatiya Janata Party,497720,1420,499140,33.8,West Bengal,Srerampur
3,DIPSITA DHAR,Communist Party of India  (Marxist),238131,1015,239146,16.2,West Bengal,Srerampur
4,SAHARIAR MULLICK (BAPI),All India Secular Front,25659,18,25677,1.74,West Bengal,Srerampur
5,SUNDAR PATRA,Independent,9897,5,9902,0.67,West Bengal,Srerampur
6,SASANKA CHAKRABORTY,Independent,3933,5,3938,0.27,West Bengal,Srerampur
7,SUPRIYA BISWAS,Bahujan Samaj Party,3572,17,3589,0.24,West Bengal,Srerampur
8,KALYAN PAUL,Independent,1749,9,1758,0.12,West Bengal,Srerampur
9,PRADYUT CHOWDHURI,Socialist Unity Centre Of India (COMMUNIST),1671,9,1680,0.11,West Bengal,Srerampur
10,KALYAN SAMANTA,Independent,1421,19,1440,0.1,West Bengal,Srerampur
11,SARKAR MANGAL,Bahujan Maha Party,1256,2,1258,0.09,West Bengal,Srerampur
12,NOTA,None of the Above,14964,70,15034,1.02,West Bengal,Srerampur
