S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name,Constituency code
1,SAJDA AHMED,All India Trinamool Congress,722586,2036,724622,52.1,West Bengal,Uluberia,26
2,ARUNUDAY PAULCHOWDHURY,Bharatiya Janata Party,504611,1338,505949,36.38,West Bengal,Uluberia,26
3,AZAHAR MOLLICK,Indian National Congress,78304,285,78589,5.65,West Bengal,Uluberia,26
4,MOFIKUL ISLAM,All India Secular Front,38971,20,38991,2.8,West Bengal,Uluberia,26
5,ARIT KARAK,Independent,7287,5,7292,0.52,West Bengal,Uluberia,26
6,AMAL KUMAR DEYATI,Bharatiya Nyay-Adhikar Raksha Party,5445,6,5451,0.39,West Bengal,Uluberia,26
7,RAMESH KHANRA,Independent,5094,10,5104,0.37,West Bengal,Uluberia,26
8,BIMALESH KUMAR HELA,Bahujan Samaj Party,4867,8,4875,0.35,West Bengal,Uluberia,26
9,SK. SAPIYAR ALI,Independent,2924,-,2924,0.21,West Bengal,Uluberia,26
10,NIKHIL BERA,Socialist Unity Centre Of India (COMMUNIST),2095,12,2107,0.15,West Bengal,Uluberia,26
11,AMAL KUMAR BARMAN,Independent,1997,3,2000,0.14,West Bengal,Uluberia,26
12,RAMPRASAD GHORAI,Indian Unity Centre,1568,4,1572,0.11,West Bengal,Uluberia,26
13,NOTA,None of the Above,11263,55,11318,0.81,West Bengal,Uluberia,26
